Counter,Tank1EPProcessTemperature,Tank1EPPumpSpeed,Tank1EPPumpFlow,Tank1ResisChk,EPEndRunDT,EPMassEndRunDT,BatchNo,PartName,Size,ProcessEntity,EP EQR,Start Mass,Final Mass,Percent Rem,Qty Rem,EPEndRunDT_CST,start_tank_chg,end_tank_chg,tank_chg_period,conduc_test_count,total_period_mass,group_index,fi_submitter_name,UnitDispo,Part
0,-58.43495,8541.579,0.414121,-65537,25:47.4,12:57.7,32370648,32370648-003,27mm,EPTank,BSC0051077,288.7,219.9,23.83097,68.8,25:47.4,9/13/2023 19:01,9/14/2023 17:56,0 days 22:55:50,0,68.8,0,ekoueba,*PASS,32370648-003
1,-59.41647,1378.097,7.053833,-65536,02:01.0,05:53.2,32387101,32387101-003,24mm,EPTank,BSC0051077,233.8,178.7,23.56715,55.1,02:01.0,9/14/2023 17:56,9/15/2023 2:12,0 days 08:15:25,1,573.9,1,dunorp,*PASS,32387101-003
2,-59.3944,1390.652,6.905866,-65536,02:01.0,05:27.6,32387101,32387101-001,24mm,EPTank,BSC0051077,235.7,180.3,23.50445,55.4,02:01.0,9/14/2023 17:56,9/15/2023 2:12,0 days 08:15:25,1,573.9,1,dunorp,*PASS,32387101-001
3,-59.42896,1374.368,6.841251,-65536,21:11.1,12:06.9,32387101,32387101-009,24mm,EPTank,BSC0051077,236.1,180.6,23.50699,55.5,21:11.1,9/14/2023 17:56,9/15/2023 2:12,0 days 08:15:25,1,573.9,1,dunorp,*PASS,32387101-009
4,-59.12017,1375.269,7.009933,-65536,21:11.1,11:42.8,32387101,32387101-007,24mm,EPTank,BSC0051077,233.2,177.6,23.8422,55.6,21:11.1,9/14/2023 17:56,9/15/2023 2:12,0 days 08:15:25,1,573.9,1,dunorp,*PASS,32387101-007
5,-59.34683,1395.21,6.963362,-65536,39:22.5,13:19.1,32387101,32387101-014,24mm,EPTank,BSC0051077,232.8,177,23.96907,55.8,39:22.5,9/14/2023 17:56,9/15/2023 2:12,0 days 08:15:25,1,573.9,1,dunorp,*PASS,32387101-014
6,-59.44007,1405.229,6.741416,-65536,39:22.5,13:30.8,32387101,32387101-015,24mm,EPTank,BSC0051077,236.6,181,23.49958,55.6,39:22.5,9/14/2023 17:56,9/15/2023 2:12,0 days 08:15:25,1,573.9,1,dunorp,*PASS,32387101-015
7,-59.32403,1374.678,6.924414,-65536,55:16.7,06:38.8,32387011,32387011-005,20mm,EPTank,BSC0051077,172.8,133.7,22.62731,39.1,55:16.7,9/14/2023 17:56,9/15/2023 2:12,0 days 08:15:25,1,573.9,1,morem10,*PASS,32387011-005
8,-59.47844,1373.398,6.90189,-65536,55:16.7,06:16.5,32387011,32387011-004,20mm,EPTank,BSC0051077,172,131.1,23.77907,40.9,55:16.7,9/14/2023 17:56,9/15/2023 2:12,0 days 08:15:25,1,573.9,1,morem10,WM34-Tweezers Mark/ContactMark,32387011-004
9,-59.34805,1365.239,7.110339,-65536,58:16.8,08:09.0,32387011,32387011-009,20mm,EPTank,BSC0051077,171.5,131.9,23.09038,39.6,58:16.8,9/14/2023 17:56,9/15/2023 2:12,0 days 08:15:25,1,573.9,1,morem10,*PASS,32387011-009
10,-59.42452,1368.157,6.715863,-65536,58:16.8,07:25.7,32387011,32387011-007,20mm,EPTank,BSC0051077,172.4,132.4,23.20186,40,58:16.8,9/14/2023 17:56,9/15/2023 2:12,0 days 08:15:25,1,573.9,1,morem10,*PASS,32387011-007
11,-59.41494,1384.787,6.880256,-65536,17:54.9,09:20.4,32387011,32387011-013,20mm,EPTank,BSC0051077,176.9,136.4,22.89429,40.5,17:54.9,9/14/2023 17:56,9/15/2023 2:12,0 days 08:15:25,1,573.9,1,morem10,*PASS,32387011-013
12,-59.3754,1376.562,6.839262,-65536,17:54.9,09:41.9,32387011,32387011-014,20mm,EPTank,BSC0051077,172.4,131.6,23.66589,40.8,17:54.9,9/14/2023 17:56,9/15/2023 2:12,0 days 08:15:25,1,573.9,1,morem10,*PASS,32387011-014
13,-59.1932,1406.532,6.800611,-65536,51:43.1,,32402856,32402856-006,,EPTank,BSC0051077,,,,,51:43.1,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,xionj32,Implant Already Scrapped,32402856-006
14,-59.40821,1416.42,6.979738,-65536,51:43.1,,32402856,32402856-005,,EPTank,BSC0051077,,,,,51:43.1,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,xionj32,Implant Already Scrapped,32402856-005
15,-59.41722,1390.548,6.873656,-65536,17:21.0,37:45.6,32402856,32402856-010,31mm,EPTank,BSC0051077,337.1,256.3,23.96915,80.8,17:21.0,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,xionj32,*PASS,32402856-010
16,-59.37784,1386.475,7.139804,-65536,17:21.0,37:57.9,32402856,32402856-012,31mm,EPTank,BSC0051077,336.3,255.7,23.9667,80.6,17:21.0,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,xionj32,Implant Already Scrapped,32402856-012
17,-59.5102,1417.574,6.82894,-65536,40:04.2,37:00.4,32387053,32387053-003,27mm,EPTank,BSC0051077,285.1,214.8,24.65801,70.3,40:04.2,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,abdiz6,*PASS,32387053-003
18,-59.10546,1414.69,6.97906,-65536,40:04.2,35:48.9,32387053,32387053-001,27mm,EPTank,BSC0051077,287,215.8,24.80836,71.2,40:04.2,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,abdiz6,*PASS,32387053-001
19,-59.39604,1394.34,6.949725,-65536,59:50.8,38:33.4,32387053,32387053-008,27mm,EPTank,BSC0051077,286,215.2,24.75524,70.8,59:50.8,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,abdiz6,*PASS,32387053-008
20,-59.26247,1399.222,7.022997,-65536,59:50.8,38:57.6,32387053,32387053-009,27mm,EPTank,BSC0051077,285.6,215.9,24.40476,69.7,59:50.8,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,abdiz6,*PASS,32387053-009
21,-59.39138,1440.231,6.719668,-65536,20:23.6,40:37.2,32387053,32387053-014,27mm,EPTank,BSC0051077,285.7,214.7,24.85124,71,20:23.6,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,abdiz6,*PASS,32387053-014
22,-59.28845,1405.255,7.185583,-65536,20:23.6,40:55.8,32387053,32387053-015,27mm,EPTank,BSC0051077,286.3,216.4,24.41495,69.9,20:23.6,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,abdiz6,*PASS,32387053-015
23,-59.42731,1427.175,6.873284,-65536,41:36.7,54:35.1,32402992,32402992-003,24mm,EPTank,BSC0051077,236,180.5,23.51695,55.5,41:36.7,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,diggsj,*PASS,32402992-003
24,-59.35572,1416.155,7.173373,-65536,41:36.7,54:08.2,32402992,32402992-001,24mm,EPTank,BSC0051077,236.6,180.7,23.62637,55.9,41:36.7,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,diggsj,*PASS,32402992-001
25,-59.44487,1378.568,6.816793,-65536,06:36.3,55:03.6,32402992,32402992-005,24mm,EPTank,BSC0051077,236.2,175.4,25.7409,60.8,06:36.3,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,diggsj,*PASS,32402992-005
26,-59.36505,1388.325,6.703235,-65536,06:36.3,55:19.5,32402992,32402992-006,24mm,EPTank,BSC0051077,234.3,174.8,25.39479,59.5,06:36.3,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,diggsj,*PASS,32402992-006
27,-59.39902,1441.82,7.106778,-65536,24:19.6,56:25.7,32402992,32402992-012,24mm,EPTank,BSC0051077,235.9,180.5,23.48453,55.4,24:19.6,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,diggsj,*PASS,32402992-012
28,-59.34432,1386.494,6.943092,-65536,24:19.6,56:12.1,32402992,32402992-010,24mm,EPTank,BSC0051077,235.3,181.5,22.86443,53.8,24:19.6,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,diggsj,*PASS,32402992-010
29,-59.42615,1412.234,6.988211,-65536,42:36.5,43:22.9,32411057,32411057-001,20mm,EPTank,BSC0051077,178.1,138.1,22.45929,40,42:36.5,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,babaevv,*PASS,32411057-001
30,-59.03251,1410.112,6.994034,-65536,42:36.5,46:26.6,32411057,32411057-003,20mm,EPTank,BSC0051077,176,136.6,22.38636,39.4,42:36.5,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,babaevv,WM16-Rough Surface,32411057-003
31,-59.44777,1437.344,7.135257,-65536,59:07.6,46:44.0,32411057,32411057-004,20mm,EPTank,BSC0051077,176.4,137.2,22.22222,39.2,59:07.6,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,babaevv,*PASS,32411057-004
32,-59.36835,1423.495,6.921897,-65536,59:07.6,47:12.6,32411057,32411057-006,20mm,EPTank,BSC0051077,175,136.3,22.11429,38.7,59:07.6,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,babaevv,WM16-Rough Surface,32411057-006
33,-59.37096,1399.022,7.20851,-65536,19:09.6,49:04.4,32411057,32411057-010,20mm,EPTank,BSC0051077,175.9,136.5,22.39909,39.4,19:09.6,9/15/2023 2:12,9/15/2023 9:18,0 days 07:06:40,0,1121.9,2,babaevv,*PASS,32411057-010
34,-59.37096,1399.022,7.20851,-65536,19:09.6,49:04.4,32411057,32411057-010,20mm,EPTank,BSC0051077,175.9,136.5,22.39909,39.4,19:09.6,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,babaevv,*PASS,32411057-010
35,-58.74376,1414.043,7.446298,-65537,19:09.6,49:37.9,32411057,32411057-012,20mm,EPTank,BSC0051077,175.8,136.9,22.12742,38.9,19:09.6,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,babaevv,*PASS,32411057-012
36,-59.40605,1419.872,7.024752,-65536,16:29.5,23:05.4,32411452,32411452-001,20mm,EPTank,BSC0051077,174.6,136.9,21.59221,37.7,16:29.5,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,dangt5,*PASS,32411452-001
37,-59.00269,1393.653,6.738851,-65536,16:29.5,23:42.8,32411452,32411452-003,20mm,EPTank,BSC0051077,176,134.5,23.57955,41.5,16:29.5,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,dangt5,*PASS,32411452-003
38,-59.3044,1397.315,6.907444,-65536,31:11.8,25:07.9,32411452,32411452-009,20mm,EPTank,BSC0051077,176,134.4,23.63636,41.6,31:11.8,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,dangt5,*PASS,32411452-009
39,-59.41265,1400.728,6.721432,-65536,31:11.8,24:56.0,32411452,32411452-008,20mm,EPTank,BSC0051077,176.5,136.2,22.83286,40.3,31:11.8,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,dangt5,*PASS,32411452-008
40,-59.41006,1423.931,6.768455,-65536,47:21.4,25:44.8,32411452,32411452-012,20mm,EPTank,BSC0051077,176.2,137,22.24745,39.2,47:21.4,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,dangt5,*PASS,32411452-012
41,-59.04264,1426.661,6.893477,-65536,47:21.4,25:18.9,32411452,32411452-010,20mm,EPTank,BSC0051077,176.4,136.3,22.73243,40.1,47:21.4,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,dangt5,*PASS,32411452-010
42,-59.30574,1412.818,6.883066,-65536,02:12.9,26:12.2,32411452,32411452-015,20mm,EPTank,BSC0051077,176.4,136,22.90249,40.4,02:12.9,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,dangt5,*PASS,32411452-015
43,-59.42015,1390.144,6.922416,-65536,02:12.9,25:59.0,32411452,32411452-014,20mm,EPTank,BSC0051077,175.7,136.3,22.42459,39.4,02:12.9,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,dangt5,*PASS,32411452-014
44,-59.42503,1426.534,6.952044,-65536,15:36.2,08:25.1,32387105,32387105-006,27mm,EPTank,BSC0051077,285.5,215.8,24.41331,69.7,15:36.2,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,ekoueba,*PASS,32387105-006
45,-58.98007,1428.683,6.95356,-65536,15:36.2,07:58.6,32387105,32387105-004,27mm,EPTank,BSC0051077,286.9,216.4,24.57302,70.5,15:36.2,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,ekoueba,*PASS,32387105-004
46,-59.41859,1399.858,6.957221,-65536,34:56.2,09:26.1,32387105,32387105-011,27mm,EPTank,BSC0051077,285.2,214.9,24.64937,70.3,34:56.2,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,ekoueba,*PASS,32387105-011
47,-59.12624,1416.825,6.855689,-65536,34:56.2,09:38.1,32387105,32387105-012,27mm,EPTank,BSC0051077,285,215.9,24.24561,69.1,34:56.2,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,ekoueba,*PASS,32387105-012
48,-59.3419,1403.898,7.087207,-65536,05:13.3,26:12.6,32309882,32309882-004,20mm,EPTank,BSC0051077,175.4,136.9,21.94983,38.5,05:13.3,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,durene,*PASS,32309882-004
49,-59.00019,1405.594,6.884844,-65536,05:13.3,26:22.8,32309882,32309882-005,20mm,EPTank,BSC0051077,176.7,137.3,22.29768,39.4,05:13.3,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,durene,*PASS,32309882-005
50,-59.33731,1425.696,7.023188,-65536,20:00.7,27:43.1,32309882,32309882-012,20mm,EPTank,BSC0051077,201.2,160.5,20.22863,40.7,20:00.7,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,durene,Implant Already Scrapped,32309882-012
51,-59.42389,1419.545,6.77077,-65536,20:00.7,28:06.2,32309882,32309882-013,20mm,EPTank,BSC0051077,179.4,140.3,21.79487,39.1,20:00.7,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,durene,*PASS,32309882-013
52,-59.42614,1400.511,6.937834,-65536,41:58.8,48:56.2,32309889,32309889-012,20mm,EPTank,BSC0051077,177.3,138.2,22.05302,39.1,41:58.8,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,ekoueba,*PASS,32309889-012
53,-59.44172,1404.384,6.908119,-65536,41:58.8,49:21.4,32309889,32309889-013,20mm,EPTank,BSC0051077,181.2,142.4,21.4128,38.8,41:58.8,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,ekoueba,*PASS,32309889-013
54,-59.40936,1431.163,6.99047,-65536,57:42.9,14:09.2,32317345,32317345-001,20mm,EPTank,BSC0051077,173.1,134.9,22.06817,38.2,57:42.9,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,ekoueba,WM34-Tweezers Mark/ContactMark,32317345-001
55,-59.31349,1440.467,7.13484,-65536,57:42.9,14:33.5,32317345,32317345-003,20mm,EPTank,BSC0051077,173,138.6,19.88439,34.4,57:42.9,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,ekoueba,WM34-Tweezers Mark/ContactMark,32317345-003
56,-59.50747,1437.401,6.763803,-65536,28:28.3,15:15.7,32317345,32317345-005,20mm,EPTank,BSC0051077,171.3,132.5,22.65032,38.8,28:28.3,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,ekoueba,WM34-Tweezers Mark/ContactMark,32317345-005
57,-59.15092,1440.738,6.805053,-65536,28:28.3,15:39.4,32317345,32317345-006,20mm,EPTank,BSC0051077,171.2,133.3,22.13785,37.9,28:28.3,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,ekoueba,*PASS,32317345-006
58,-59.49633,1399.227,6.711947,-65536,44:02.3,17:04.1,32317345,32317345-012,20mm,EPTank,BSC0051077,172,133.6,22.32558,38.4,44:02.3,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,ekoueba,*PASS,32317345-012
59,-59.39499,1400.818,6.95045,-65536,44:02.3,16:47.7,32317345,32317345-011,20mm,EPTank,BSC0051077,172.2,133.3,22.59001,38.9,44:02.3,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,ekoueba,*PASS,32317345-011
60,-59.36623,1420.924,6.915964,-65536,33:41.2,41:54.1,32317359,32317359-002,20mm,EPTank,BSC0051077,174.9,136,22.24128,38.9,33:41.2,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,yans1,*PASS,32317359-002
61,-59.05009,1405.674,6.917386,-65536,33:41.2,42:07.1,32317359,32317359-003,20mm,EPTank,BSC0051077,175.5,137,21.93732,38.5,33:41.2,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,yans1,*PASS,32317359-003
62,-59.36472,1420.78,6.991494,-65536,48:47.8,43:31.0,32317359,32317359-009,20mm,EPTank,BSC0051077,176.8,138.6,21.60633,38.2,48:47.8,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,yans1,*PASS,32317359-009
63,-59.36246,1435.528,7.124836,-65536,48:47.8,43:05.2,32317359,32317359-007,20mm,EPTank,BSC0051077,175.5,137.4,21.7094,38.1,48:47.8,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,yans1,*PASS,32317359-007
64,-59.39486,1446.785,6.898702,-65536,03:37.5,44:45.3,32317359,32317359-014,20mm,EPTank,BSC0051077,177.2,138,22.1219,39.2,03:37.5,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,yans1,*PASS,32317359-014
65,-59.48694,1442.126,6.927984,-65536,03:37.5,45:00.2,32317359,32317359-015,20mm,EPTank,BSC0051077,175.8,138.1,21.44482,37.7,03:37.5,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,yans1,Implant Already Scrapped,32317359-015
66,-59.26055,1394.047,6.984891,-65536,03:14.6,38:55.5,32334831,32334831-003,20mm,EPTank,BSC0051077,176,138.1,21.53409,37.9,03:14.6,9/15/2023 9:18,9/16/2023 3:03,0 days 17:44:10,2,1408.8,3,yans1,*PASS,32334831-003
67,-59.26055,1394.047,6.984891,-65536,03:14.6,38:55.5,32334831,32334831-003,20mm,EPTank,BSC0051077,176,138.1,21.53409,37.9,03:14.6,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,yans1,*PASS,32334831-003
68,-59.22971,1475.289,7.220048,-65537,03:14.6,38:29.7,32334831,32334831-001,20mm,EPTank,BSC0051077,176.9,138.3,21.82024,38.6,03:14.6,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,yans1,*PASS,32334831-001
69,-59.0853,1408.29,7.102881,-65536,20:25.1,25:57.3,32387001,32387001-003,20mm,EPTank,BSC0051077,177.2,137.9,22.17833,39.3,20:25.1,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,babaevv,*PASS,32387001-003
70,-59.26583,1417.472,6.897746,-65536,20:25.1,25:15.9,32387001,32387001-001,20mm,EPTank,BSC0051077,177.1,136.9,22.69904,40.2,20:25.1,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,babaevv,*PASS,32387001-001
71,-59.48845,1423.238,6.820715,-65536,37:34.2,27:28.9,32387001,32387001-007,20mm,EPTank,BSC0051077,175.9,135.4,23.02445,40.5,37:34.2,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,babaevv,WM16-Rough Surface,32387001-007
72,-59.52113,1415.746,6.86635,-65536,37:34.2,27:58.6,32387001,32387001-009,20mm,EPTank,BSC0051077,177,137.3,22.42938,39.7,37:34.2,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,babaevv,*PASS,32387001-009
73,-59.3864,1402.529,6.925481,-65536,54:38.6,28:44.5,32387001,32387001-012,20mm,EPTank,BSC0051077,176.6,137.1,22.36693,39.5,54:38.6,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,babaevv,*PASS,32387001-012
74,-59.2968,1391.404,7.040457,-65536,54:38.6,28:14.2,32387001,32387001-010,20mm,EPTank,BSC0051077,177.1,136.7,22.81197,40.4,54:38.6,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,babaevv,*PASS,32387001-010
75,-59.34562,1375.159,6.994949,-65536,28:39.4,28:58.7,32387001,32387001-013,20mm,EPTank,BSC0051077,176.3,136.7,22.46171,39.6,28:39.4,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,babaevv,WM16-Rough Surface,32387001-013
76,-59.47271,1374.55,7.041535,-65536,28:39.4,29:15.6,32387001,32387001-014,20mm,EPTank,BSC0051077,175.9,136.4,22.45594,39.5,28:39.4,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,babaevv,*PASS,32387001-014
77,-59.43624,1420.487,6.921559,-65536,45:49.0,37:22.7,32334835,32334835-004,20mm,EPTank,BSC0051077,176.3,136.6,22.51843,39.7,45:49.0,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,xionj32,*PASS,32334835-004
78,-59.15094,1424.031,6.842799,-65536,45:49.0,37:39.2,32334835,32334835-005,20mm,EPTank,BSC0051077,177.6,137.5,22.57883,40.1,45:49.0,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,xionj32,*PASS,32334835-005
79,-59.34435,1438.127,6.994116,-65536,00:32.3,38:50.2,32334835,32334835-010,20mm,EPTank,BSC0051077,176.7,136.9,22.52405,39.8,00:32.3,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,xionj32,*PASS,32334835-010
80,-59.40623,1439.6,6.870806,-65536,00:32.3,39:04.7,32334835,32334835-011,20mm,EPTank,BSC0051077,175.9,136.1,22.62649,39.8,00:32.3,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,xionj32,*PASS,32334835-011
81,-59.38842,1414.207,6.88424,-65536,15:30.9,11:37.3,32360079,32360079-003,20mm,EPTank,BSC0051077,174.5,135.8,22.17765,38.7,15:30.9,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,durene,*PASS,32360079-003
82,-59.25253,1407.777,6.872055,-65536,15:30.9,10:59.6,32360079,32360079-001,20mm,EPTank,BSC0051077,173.2,134.2,22.51732,39,15:30.9,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,durene,*PASS,32360079-001
83,-59.35709,1411.102,6.940855,-65536,30:35.4,13:16.8,32360079,32360079-009,20mm,EPTank,BSC0051077,175,136.5,22,38.5,30:35.4,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,durene,*PASS,32360079-009
84,-59.29197,1402.414,6.708693,-65536,30:35.4,12:44.9,32360079,32360079-007,20mm,EPTank,BSC0051077,174.1,134.8,22.57323,39.3,30:35.4,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,durene,*PASS,32360079-007
85,-59.42748,1420.18,6.910861,-65536,47:12.5,14:51.3,32360079,32360079-015,20mm,EPTank,BSC0051077,174.9,136.4,22.01258,38.5,47:12.5,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,durene,*PASS,32360079-015
86,-59.12546,1436.136,6.919898,-65536,47:12.5,14:21.1,32360079,32360079-013,20mm,EPTank,BSC0051077,173.6,134.6,22.46544,39,47:12.5,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,durene,*PASS,32360079-013
87,-59.26781,1433.88,6.934895,-65536,02:23.7,,32386546,32386546-006,,EPTank,BSC0051077,,,,,02:23.7,9/16/2023 3:03,9/16/2023 9:02,0 days 05:59:10,0,787.6,4,mustapm,Implant Already Scrapped,32386546-006
88,-59.26781,1433.88,6.934895,-65536,02:23.7,,32386546,32386546-006,,EPTank,BSC0051077,,,,,02:23.7,9/16/2023 9:02,9/17/2023 1:29,0 days 16:27:30,2,2356,5,mustapm,Implant Already Scrapped,32386546-006
89,-58.86871,1465.187,7.571429,-65537,02:23.7,07:57.9,32386546,32386546-004,20mm,EPTank,BSC0051077,174.9,135.8,22.35563,39.1,02:23.7,9/16/2023 9:02,9/17/2023 1:29,0 days 16:27:30,2,2356,5,mustapm,*PASS,32386546-004
90,-59.48984,1404.77,7.094872,-65536,12:59.6,30:59.1,32379372,32379372-001,27mm,EPTank,BSC0051077,281.6,211.6,24.85795,70,12:59.6,9/16/2023 9:02,9/17/2023 1:29,0 days 16:27:30,2,2356,5,ekoueba,*PASS,32379372-001
91,-59.06336,1409.391,7.032061,-65536,12:59.6,31:12.9,32379372,32379372-002,27mm,EPTank,BSC0051077,282.5,209.9,25.69912,72.6,12:59.6,9/16/2023 9:02,9/17/2023 1:29,0 days 16:27:30,2,2356,5,ekoueba,*PASS,32379372-002
92,-59.45144,1391.372,6.86874,-65536,32:34.8,34:18.4,32379372,32379372-008,27mm,EPTank,BSC0051077,285.7,212.8,25.51628,72.9,32:34.8,9/16/2023 9:02,9/17/2023 1:29,0 days 16:27:30,2,2356,5,ekoueba,*PASS,32379372-008
93,-59.053,1386.106,6.92638,-65536,32:34.8,34:03.0,32379372,32379372-007,27mm,EPTank,BSC0051077,281.8,210.6,25.26615,71.2,32:34.8,9/16/2023 9:02,9/17/2023 1:29,0 days 16:27:30,2,2356,5,ekoueba,*PASS,32379372-007
94,-59.44057,1418.256,6.873761,-65536,52:01.2,38:34.3,32379372,32379372-013,27mm,EPTank,BSC0051077,286.1,213.8,25.27088,72.3,52:01.2,9/16/2023 9:02,9/17/2023 1:29,0 days 16:27:30,2,2356,5,ekoueba,*PASS,32379372-013
95,-59.13192,1408.509,7.063406,-65536,52:01.2,38:49.9,32379372,32379372-014,27mm,EPTank,BSC0051077,278,206.8,25.61151,71.2,52:01.2,9/16/2023 9:02,9/17/2023 1:29,0 days 16:27:30,2,2356,5,ekoueba,*PASS,32379372-014
96,-59.4654,1452.553,6.914896,-65536,07:14.6,50:03.2,32317374,32317374-005,20mm,EPTank,BSC0051077,174.9,134.2,23.27044,40.7,07:14.6,9/16/2023 9:02,9/17/2023 1:29,0 days 16:27:30,2,2356,5,xionj32,WM98 - Crushed Anchor,32317374-005
97,-59.39583,1454.154,6.919663,-65536,07:14.6,50:18.4,32317374,32317374-007,20mm,EPTank,BSC0051077,174.8,135,22.76888,39.8,07:14.6,9/16/2023 9:02,9/17/2023 1:29,0 days 16:27:30,2,2356,5,xionj32,*PASS,32317374-007
98,-59.30253,1414.014,6.930505,-65536,29:25.3,52:11.6,32317374,32317374-014,20mm,EPTank,BSC0051077,175.1,135.4,22.67276,39.7,29:25.3,9/16/2023 9:02,9/17/2023 1:29,0 days 16:27:30,2,2356,5,xionj32,*PASS,32317374-014
